Column1;Name;Querylist
374;Janne Sankelo;['Janne Sankelo*', 'Janne Sankelo']
375;Hanna Tainio;['Hanna Tainio*', 'Hanna Tainio']
376;Sinuhe Wallinheimo;['Sinuhe Wallinheimo*', 'Sinuhe Wallinheimo']
377;Touko Aalto;['Touko Aallo*', 'Touko Aalto*']
378;Simon Elo;['Simon Elo*', 'Simon Elo']
379;Harry Harkimo;['Harry Harkimo*', 'Harry Harkimo']
380;Mia Laiho;['Mia Laiho*', 'Mia Laiho']
381;Rami Lehto;['Rami Lehto*', 'Rami Lehto']
382;Veera Ruoho;['Veera Ruoho*', 'Veera Ruoho']
383;Sami Savio;['Sami Savio*', 'Sami Savio']
384;Ville Tavio;['Ville Tavio*', 'Ville Tavio']
385;Sampo Terho;['Sampo Terho*', 'Sampo Terho']
386;Klaus Bremer;['Klaus Bremer*', 'Klaus Bremer']
387;Jörn Donner;['Jörn Donner*', 'Jörn Donner']
388;Mikaela Nylander;['Mikaela Nylander*', 'Mikaela Nylander']
389;Elisabeth Nauclér;['Elisabeth Nauclér*', 'Elisabeth Nauclér']
390;Pirkko Ruohonen-Lerner;['Pirkko Ruohonen-Lerner*', 'Pirkko Ruohonen-Lerner']
391;Mikael Jungner;['Mikael Jungner*', 'Mikael Jungner']
392;Riitta Myller;['Riitta Myller*', 'Riitta Myller']
393;Anne Berner;['Anne Berner*', 'Anne Berner']
394;Nasima Razmyar;['Nasima Razmyar*', 'Nasima Razmyar']
395;Ozan Yanar;['Ozan Yanar*', 'Ozan Yanar']
396;Sari Essayah;['Sari Essayah*', 'Sari Essayah']
397;Alexander Stubb;['Alexander Stubb*', 'Alexander Stubb']
398;Jyri Häkämies;['Jyri Häkämiehe*', 'Jyri Häkämies*']
399;Pekka Ravi;['Pekka Ravi*']
400;Kimmo Sasi;['Kimmo Sasi*']
401;Pirjo-Riitta Antvuori;['Pirjo-Riitta Antvuor*', 'Pirjo-Riitta Antvuore*']
402;Timo Ihamäki;['Timo Ihamäe*', 'Timo Ihamäke*', 'Timo Ihamäki*']
403;Jouni Lehtimäki;['Jouni Lehtimäe*', 'Jouni Lehtimäke*Jouni Lehtimäki*']
404;Tuija Nurmi;['Tuija Nurme*', 'Tuija Nurmi']
405;Martti Tiuri;['Martti Tiuri*', 'Martti Tiuri']
406;Sulo Aittoniemi;['Sulo Aittonieme*', 'Sulo Aittoniemi*']
407;Bjarne Kallis;['Bjarne Kallikse*', 'Bjarne Kallis*']
408;Toimi Kankaanniemi;['Toimi Kankaannieme*', 'Toimi Kankaanniemi']
409;Sakari Smeds;['Sakari Smeds*', 'Sakari Smeds']
410;Ulla-Maj Wideroos;['Ulla-Maj Wideroos*', 'Ulla-Maj Wideroos']
411;Esko Helle;['Esko Helle*', 'Esko Helte*', 'Esko Helle']
412;Annika Lapintie;['Annika Lapintie*', 'Annika Lapintie']
413;Suvi-Anne Siimes;['Suvi-Anne Siimekse*', 'Suvi-Anne Siimes*']
414;Anne Huotari;['Anne Huotari*', 'Anne Huotari']
415;Matti Kangas;['Matti Kankaa*', 'Matti Kangas*']
416;Iivo Polvi;['Iivo Polve*', 'Iivo Polvi*']
417;Unto Valpas;['Unto Valppaa*', 'Unto Valpas*']
418;Merikukka Forsius;['Merikukka Forsiukse*', 'Merikukka Forsius*']
419;Satu Hassi;['Satu Hassi*', 'Satu Hassi']
420;Anni Sinnemäki;['Anni Sinnemäe*', 'Anni Sinnemäke*', 'Anni Sinnemäki']
421;Rauha-Maria Mertjärvi;['Rauha-Maria Mertjärve*', 'Rauha-Maria Mertjärvi*']
422;Anneli Jäätteenmäki;['Anneli Jäätteenmäe*', 'Anneli Jäätteenmäke*', 'Anneli Jäätteenmäki*']
423;Timo Kalli;['Timo Kalli*', 'Timo Kalli']
424;Mari Kiviniemi;['Mari Kivinieme*', 'Mari Kiviniemi*']
425;Paula Lehtomäki;['Paula Lehtomäe*', 'Paula Lehtomäke*', 'Paula Lehtomäki*']
426;Katri Komi;['Katri Komi*', 'Katri Komi']
427;Ossi Korteniemi;['Ossi Kortenieme*', 'Ossi Korteniemi*']
428;Kari Myllyniemi;['Kari Myllynieme*', 'Kari Myllyniemi*']
429;Petri Neittaanmäki;['Petri Neittaanmäe*', 'Petri Neittaanmäke*', 'Petri Neittaanmäki*']
430;Antti Rantakangas;['Antti Rantakankaa*', 'Antti Rantakangas*', 'Antti Rantakangas*']
431;Markku Rossi;['Markku Rossi*']
432;Pauli Saapunki;['Pauli Saapungi*', 'Pauli Saapunki*']
433;Ilkka Taipale;['Ilkka Taipal*', 'Ilkka Taipale*']
434;Liisa Jaakonsaari;['Liisa Jaakonsaar*', 'Liisa Jaakonsaare*', 'Liisa Jaakonsaari*']
435;Antti Kalliomäki;['Antti Kalliomäke*', 'Antti Kalliomäe*', 'Antti Kalliomäki*']
436;Kari Rajamäki;['Kari Rajamäke*', 'Kari Rajamäe*', 'Kari Rajamäki*']
437;Jouko Skinnari;['Jouko Skinnari*']
438;Valto Koski;['Valto Koske*', 'Valto Koski*']
439;Sinikka Mönkäre;['Sinikka Mönkäre*']
440;Riitta Prusti;['Riitta Prusti*']
441;Jussi Ranta;['Jussi Ranna*', 'Jussi Ranta*']
442;Tero Rönni;['Tero Rönni*']
443;Matti Vähänakki;['Matti Vähänaki*', 'Matti Vähänakki*']
444;Matti Ahde;['Matti Ahte*', 'Matti Ahde*']
445;Arto Bryggare;['Arto Bryggare*']
446;Tony Halme;['Tony Halme*']
447;Jyrki Kasvi;['Jyrki Kasvi*']
448;Esko Kiviranta;['Esko Kiviranna*', 'Esko Kiviranta*']
449;Markku Koski;['Markku Koske*', 'Markku Koski*']
450;Jere Lahti;['Jere Lahte*', 'Jere Lahde*', 'Jere Lahti*']
451;Markus Mustajärvi;['Markus Mustajärve*', 'Markus Mustajärvi*']
452;Aila Paloniemi;['Aila Palonieme*', 'Aila Paloniemi*']
453;Terhi Peltokorpi;['Terhi Peltokorpe*', 'Terhi Peltokorve*', 'Terhi Peltokorpi*']
454;Klaus Pentti;['Klaus Pentti*', 'Klaus Penti*']
455;Jukka Roos;['Jukka Roos*']
456;Martin Saarikangas;['Martin Saarikankaa*', 'Martin Saarikangas*']
457;Timo Soini;['Timo Soini*']
458;Johanna Sumuvuori;['Johanna Sumuvuor*', 'Johanna Sumuvuori*']
459;Seppo Särkiniemi;['Seppo Särkinieme*', 'Seppo Särkiniemi*']
460;Astrid Thors;['Astrid Thors*']
461;Tapani Tölli;['Tapani Tölli*']
462;Jan Vapaavuori;['Jan Vapaavuor*', 'Jan Vapaavuori*']
463;Paavo Arhinmäki;['Paavo Arhinmäe*', 'Paavo Arhinmäke*', 'Paavo Arhinmäki*']
464;Maarit Feldt-Ranta;['Maarit Feldt-Ranna*', 'Maarit Feldt-Ranta*']
465;Harri Jaskari;['Harri Jaskari*']
466;Anne Kalmari;['Anne Kalmari*']
467;Oiva Kaltiokumpu;['Oiva Kaltiokummu*', 'Oiva Kaltiokumpu*']
468;Johanna Karimäki;['Johanna Karimäe*', 'Johanna Karimäke*', 'Johanna Karimäki*']
469;Miapetra Kumpula-Natri;['Miapetra Kumpula-Natri*']
470;Sanna Lauslahti;['Sanna Lauslahde*', 'Sanna Lauslahte*', 'Sanna Lauslahti*']
471;Eero Lehti;['Eero Lehde*', 'Eero Lehte*', 'Eero Lehti*']
472;Pentti Juhani;['Pentti Juhani*']
473;Petri Pihlajaniemi;['Petri Pihlajanieme*', 'Petri Pihlajaniemi*']
474;Janne Seurujärvi;['Janne Seurujärve*', 'Janne Seurujärvi*']
475;Markku Uusipaavalniemi;['Markku Uusipaavalnieme*', 'Markku Uusipaavalniemi*']
476;Pauliina Viitamies;['Pauliina Viitamiehe*', 'Pauliina Viitamies*']
477;Antti Vuolanne;['Antti Vuolantee*', 'Antti Vuolanne*']
478;Sauli Ahvenjärvi;['Sauli Ahvenjärve*', 'Sauli Ahvenjärvi*']
479;Eeva-Johanna Eloranta;['Eeva-Johanna Eloranna*', 'Eeva-Johanna Eloranta*']
480;Lars Gästgivars;['Lars Gästgivars*']
481;James Hirvisaari;['James Hirvisaar*', 'James Hirvisaari*']
482;Anssi Joutsenlahti;['Anssi Joutsenlahte*', 'Anssi Joutsenlahde*', 'Anssi Joutsenlahti*']
483;Risto Kalliorinne;['Risto Kalliorintee*', 'Risto Kalliorinne*']
484;Mika Kari;['Mika Kari*']
485;Elina Lepomäki;['Elina Lepomäke*', 'Elina Lepomäe*', 'Elina Lepomäki*']
486;Markus Lohi;['Markus Lohe*', 'Markus Loh*', 'Markus Lohi*']
487;Jari Myllykoski;['Jari Myllykoske*', 'Jari Myllykoski*']
488;Arto Pirttilahti;['Arto Pirttilahde*', 'Arto Pirttilahte*', 'Arto Pirttilahti*']
489;Eero Suutari;['Eero Suutari*']
490;Ville Vähämäki;['Ville Vähämäe*', 'Ville Vähämäke*', 'Ville Vähämäki*']
491;Laura Huhtasaari;['Laura Huhtasaare*', 'Laura Huhtasaar*', 'Laura Huhtasaari*']
492;Emma Kari;['Emma Kari*']
493;Susanna Koski;['Susanna Koske*', 'Susanna Koski*']
494;Katri Kulmuni;['Katri Kulmuni*']
495;Leena Meri;['Leena Mere*', 'Leena Mer*', 'Leena Meri*']
496;Juha Pylväs;['Juha Pylväkse*', 'Juha Pylväs*']
497;Veronica Rehn-Kivi;['Veronica Rehn-Kive*', 'Veronica Rehn-Kivi*']
498;Antti Rinne;['Antti Rintee*', 'Antti Rinne*']
499;Matti Semi;['Matti Semi*']
500;Ville Skinnari;['Ville Skinnari*']
501;Mari-Leena Talvitie;['Mari-Leena Talvitie*']
502;Sari Tanus;['Sari Tanukse*', 'Sari Tanus*']
503;Pilvi Torsti;['Pilvi Torsti*']
