score,document_id
22,2012033115364129
18,83ab2634-9b99-43c8-91ef-7e240fc35274
8,201612072200037133
8,201702042200065364
8,201712052200583831
8,201801252200696859
8,630ebe83-1f08-4ddc-a51a-86cbccd9fcf7
6,200702155740456
6,200711146846440
6,200812058711540
6,200906109663096
6,2010020311049147
6,2010021711140098
6,201002260142003
6,2010050611606652
6,2010051411666757
6,2010061811889545
6,2010061911896776
6,2012080715926765
6,20121023013835636
6,2014031918138310
6,2015082120213618
6,2016040321359536
6,2016071521909202
6,2016071521915686
6,201701192200056134
6,201702022200063932
6,201703252200091750
6,201707262200286475
6,201708032200303698
6,201709292200427842
6,201712122200598755
6,201712132200601873
6,201712132200601960
6,201712132200601961
6,201712132200602901
6,201712152200603218
6,201712202200619317
6,201712262200627863
6,201801190112836
6,a9933909-74f7-4b45-a4ad-1bd4e39d1eb7
6,d2349fe0-4837-4309-8af5-32fb5eb8d7c0
6,edd3553f-bb2e-4dc7-8380-bb6ab0859080
6,fa6200bf-45bb-43f2-a310-dbfdf9830543
4,10c5c4ec-aeff-44cb-9287-d92aab04eb94
4,14e3591f-2def-4ac9-b3b5-b0a5b227354c
4,1e7e54fc-3d6b-4009-bbc0-10be2680df4f
4,200611295428663
4,200701155572328
4,200705156112446
4,200705176122813
4,200706056195944
4,200706056196094
4,200707196372994
4,200711066809976
4,200711086822841
4,200711286911265
4,200712176994866
4,200801017037835
4,200801177107455
4,200801197118233
4,200802117234713
4,200802277308414
4,200803227421400
4,200804017458559
4,200804047474074
4,200805277706918
4,200805297720188
4,200807187964265
4,200807268008257
4,200808198128766
4,200808198130716
4,200808208134669
4,200808288182721
4,200808298187695
4,200809058217561
4,200810088393601
4,200810158422748
4,200810288496809
4,200812098713790
4,200812168774223
4,200812188773772
4,200901218947142
4,200903209277968
4,200903289311696
4,200904239454796
4,200906189783449
4,200907279986868
4,2009082510134090
4,2009100910399151
4,2009102910507323
4,2009111110582927
4,2010012210980961
4,2010021211097365
4,2010021311111613
4,2010022511195108
4,2010033011387279
4,2010050711366050
4,2010051811686562
4,2010061911896194
4,2010070111970869
4,2010072312085717
4,2010080912164645
4,2010082312229926
4,2010082612243801
4,2010092212379051
4,2010092512406172
4,2010102212565557
4,201011010190829
4,2010120612817560
4,2010121912888899
4,2010122012896689
4,2010122312909528
4,2010122812927708
4,201105160210324
4,2011110514685795
4,201112060185316
4,2011120602002684
4,2011120614895242
4,2011120814913451
4,2012011715082936
4,2012020615170470
4,2012022115234104
4,2012032715378005
4,2013091017470674
4,2013112617761048
4,2013120617806055
4,2013123117883594
4,2014011217920215
4,2014020418005486
4,2014022718078942
4,2014040618190181
4,2014040818195470
4,2014071918503985
4,2014072018504873
4,2014072618520184
4,2014090318628050
4,2014093018704602
4,2014101418744531
4,2014102118766513
4,2014120618902183
4,2015012419079800
4,2015071320030947
4,201507160164712
4,2015071820055958
4,2015090220286776
4,2015120520784029
4,2015121420832219
4,2015122020861979
4,2016010920933657
4,2016012120988239
4,2016021921143449
4,2016022521169154
4,2016060521681673
4,2016071321898409
4,2016071421908156
4,2016071421908834
4,2016071521909512
4,2016071521912219
4,2016071621917978
4,2016090222253610
4,2016092422363875
4,2016092422365277
4,2016092422365734
4,201609300105000
4,2016100522356022
4,2016103022540232
4,201612052200036230
4,201612302200047174
4,201701192200056124
4,201702142200070825
4,201704062200098182
4,201704092200099799
4,201704222200107561
4,201704222200107637
4,201704232200107995
4,201705122200135550
4,201705312200176591
4,201706012200180126
4,201706012200180175
4,201707142200265601
4,201707142200265659
4,201708092200315556
4,201709152200396998
4,201710242200481873
4,201710292200495257
4,201711222200553103
4,201712062200585513
4,201712062200585782
4,201712132200601442
4,201712132200601813
4,201712132200601814
4,201712132200601963
4,201712152200602902
4,201712152200607115
4,201712170112447
4,201712222200624703
4,201801282200702670
4,201802152200746776
4,201804172200883133
4,201805252200970511
4,201808182201145455
4,201808182201145778
4,201808232201152276
4,201808272201163852
4,201809042201179934
4,253b3485-dbbe-4a3a-94db-fda663d7bb26
4,30cb27f6-f1a2-4c79-be89-9a4443476af5
4,35bb8c11-0da6-416e-aed0-e50f3108ef63
4,3e3210a6-0ca1-4836-ad6e-bb0c3472afe3
4,46f09e71-a964-47fc-aeea-ac002382d50f
4,602c6084-f427-4a34-b4e0-0fbbdb607778
4,62cedf82-a5dc-424d-bb3b-b135c2c6f42d
4,67099087-5334-4ae7-b719-1d7a1cab4fb6
4,6a355ca7-ae74-4643-8496-08a21aa1750d
4,803c6afe-6283-4011-8ace-29317892330c
4,956e58b7-3f64-4345-8116-bbe3507e2362
