,name,party,firstname,lastname,position
0,"Ahvenjärvi, Sauli",kd,Sauli,Ahvenjärvi, 
1,"Alanko-Kahiluoto, Outi",vihr,Outi,Alanko-Kahiluoto, 
2,"Alatalo, Mikko",kesk,Mikko,Alatalo, 
3,"Anttila, Sirkka-Liisa",kesk,Sirkka-Liisa,Anttila, 
4,"Arhinmäki, Paavo",vas,Paavo,Arhinmäki, Kulttuuri- ja urheiluministeri;;
5,"Autto, Heikki",kok,Heikki,Autto, 
6,"Backman, Jouni",sd,Jouni,Backman, 
7,"Blomqvist, Thomas",r,Thomas,Blomqvist, 
8,"Brax, Tuija",vihr,Tuija,Brax, 
9,"Donner, Jörn",r,Jörn,Donner, 
10,"Eerola, Juho",ps,Juho,Eerola, 
11,"Eestilä, Markku",kok,Markku,Eestilä, 
12,"Elomaa, Ritva",ps,Ritva,Elomaa, 
13,"Eloranta, Eeva-Johanna",sd,Eeva-Johanna,Eloranta, 
14,"Feldt-Ranta, Maarit",sd,Maarit,Feldt-Ranta, 
15,"Filatov, Tarja",sd,Tarja,Filatov, 
16,"Gestrin, Christina",r,Christina,Gestrin, 
17,"Grahn-Laasonen, Sanni",kok,Sanni,Grahn-Laasonen, Ympäristöministeri;;
18,"Gustafsson, Jukka",sd,Jukka,Gustafsson, Opetusministeri;;
19,"Guzenina-Richardson, Maria",sd,Maria,Guzenina-Richardson, Peruspalveluministeri;;
20,"Gästgivars, Lars",r,Lars,Gästgivars, 
21,"Haapanen, Satu",vihr,Satu,Haapanen, 
22,"Haavisto, Pekka",vihr,Pekka,Haavisto, Kehitysministeri;;Kehitysministeri;;
23,"Hakkarainen, Teuvo",ps,Teuvo,Hakkarainen, 
24,"Halla-aho, Jussi",ps,Jussi,Halla-aho, 
25,"Harkimo, Leena",kok,Leena,Harkimo, 
26,"Hautala, Lasse",kesk,Lasse,Hautala, 
27,"Heikkilä, Lauri",ps,Lauri,Heikkilä, 
28,"Heinonen, Timo",kok,Timo,Heinonen, 
29,"Heinäluoma, Eero",sd,Eero,Heinäluoma, 
30,"Hemmilä, Pertti",kok,Pertti,Hemmilä, 
31,"Henriksson, Anna-Maja",r,Anna-Maja,Henriksson, Oikeusministeri;;Oikeusministeri;;
32,"Hiltunen, Rakel",sd,Rakel,Hiltunen, 
33,"Hirvisaari, James",m11,James,Hirvisaari, 
34,"Holmlund, Anne",kok,Anne,Holmlund, 
35,"Hongisto, Reijo",ps,Reijo,Hongisto, 
36,"Huovinen, Susanna",sd,Susanna,Huovinen, Peruspalveluministeri;;Peruspalveluministeri;;
37,"Häkämies, Jyri",kok,Jyri,Häkämies, Elinkeinoministeri;;
38,"Hänninen, Katja",vas,Katja,Hänninen, 
39,"Ihalainen, Lauri",sd,Lauri,Ihalainen, Työministeri;;Työministeri;;
40,"Immonen, Olli",ps,Olli,Immonen, 
41,"Jalonen, Ari",ps,Ari,Jalonen, 
42,"Jaskari, Harri",kok,Harri,Jaskari, 
43,"Jokinen, Kalle",kok,Kalle,Jokinen, 
44,"Joutsenlahti, Anssi",ps,Anssi,Joutsenlahti, 
45,"Jungner, Mikael",sd,Mikael,Jungner, 
46,"Jurva, Johanna",ps,Johanna,Jurva, 
47,"Juvonen, Arja",ps,Arja,Juvonen, 
48,"Jääskeläinen, Jouko",kd,Jouko,Jääskeläinen, 
49,"Jääskeläinen, Pietari",ps,Pietari,Jääskeläinen, 
50,"Kaikkonen, Antti",kesk,Antti,Kaikkonen, 
51,"Kalli, Timo",kesk,Timo,Kalli, 
52,"Kalliorinne, Risto",vas,Risto,Kalliorinne, 
53,"Kalmari, Anne",kesk,Anne,Kalmari, 
54,"Kanerva, Ilkka",kok,Ilkka,Kanerva, 
55,"Kantola, Ilkka",sd,Ilkka,Kantola, 
56,"Karhu, Saara",sd,Saara,Karhu, 
57,"Kari, Mika",sd,Mika,Kari, 
58,"Karimäki, Johanna",vihr,Johanna,Karimäki, 
59,"Katainen, Elsi",kesk,Elsi,Katainen, 
60,"Katainen, Jyrki",kok,Jyrki,Katainen, Pääministeri;;
61,"Kataja, Sampsa",kok,Sampsa,Kataja, 
62,"Kauma, Pia",kok,Pia,Kauma, 
63,"Kerola, Inkeri",kesk,Inkeri,Kerola, 
64,"Kettunen, Pentti",ps,Pentti,Kettunen, 
65,"Kiljunen, Anneli",sd,Anneli,Kiljunen, 
66,"Kiuru, Krista",sd,Krista,Kiuru, Opetus- ja viestintäministeri;; Opetusministeri;; Asunto- ja viestintäministeri;;Opetus- ja viestintäministeri;;
67,"Kiuru, Pauli",kok,Pauli,Kiuru, 
68,"Kivelä, Kimmo",ps,Kimmo,Kivelä, 
69,"Kiviniemi, Mari",kesk,Mari,Kiviniemi, 
70,"Kiviranta, Esko",kesk,Esko,Kiviranta, 
71,"Kokko, Osmo",ps,Osmo,Kokko, 
72,"Komi, Katri",kesk,Katri,Komi, 
73,"Kontula, Anna",vas,Anna,Kontula, 
74,"Kopra, Jukka",kok,Jukka,Kopra, 
75,"Korhonen, Martti",vas,Martti,Korhonen, 
76,"Korhonen, Timo",kesk,Timo,Korhonen, 
77,"Koskela, Laila",kesk,Laila,Koskela, 
78,"Koskinen, Johannes",sd,Johannes,Koskinen, 
79,"Kumpula-Natri, Miapetra",sd,Miapetra,Kumpula-Natri, 
80,"Kurvinen, Esko",kok,Esko,Kurvinen, 
81,"Kuusisto, Merja",sd,Merja,Kuusisto, 
82,"Kyllönen, Merja",vas,Merja,Kyllönen, Liikenneministeri;;
83,"Kymäläinen, Suna",sd,Suna,Kymäläinen, 
84,"Kärnä, Jukka",sd,Jukka,Kärnä, 
85,"Kääriäinen, Seppo",kesk,Seppo,Kääriäinen, 
86,"Lapintie, Annika",vas,Annika,Lapintie, 
87,"Lauslahti, Sanna",kok,Sanna,Lauslahti, 
88,"Lehti, Eero",kok,Eero,Lehti, 
89,"Lehtomäki, Paula",kesk,Paula,Lehtomäki, 
90,"Lepomäki, Elina",kok,Elina,Lepomäki, 
91,"Leppä, Jari",kesk,Jari,Leppä, 
92,"Lindström, Jari",ps,Jari,Lindström, 
93,"Lindtman, Antti",sd,Antti,Lindtman, 
94,"Lintilä, Mika",kesk,Mika,Lintilä, 
95,"Lipponen, Päivi",sd,Päivi,Lipponen, 
96,"Lohela, Maria",ps,Maria,Lohela, 
97,"Lohi, Markus",kesk,Markus,Lohi, 
98,"Louhelainen, Anne",ps,Anne,Louhelainen, 
99,"Maijala, Eeva-Maria",kesk,Eeva-Maria,Maijala, 
100,"Matikainen-Kallström, Marjo",kok,Marjo,Matikainen-Kallström, 
101,"Mattila, Pirkko",ps,Pirkko,Mattila, 
102,"Modig, Silvia",vas,Silvia,Modig, 
103,"Mustajärvi, Markus",vr,Markus,Mustajärvi, 
104,"Myller, Riitta",sd,Riitta,Myller, 
105,"Myllykoski, Jari",vas,Jari,Myllykoski, 
106,"Mäkelä, Outi",kok,Outi,Mäkelä, 
107,"Mäkinen, Tapani",kok,Tapani,Mäkinen, 
108,"Mäkipää, Lea",ps,Lea,Mäkipää, 
109,"Mäkisalo-Ropponen, Merja",sd,Merja,Mäkisalo-Ropponen, 
110,"Männistö, Lasse",kok,Lasse,Männistö, 
111,"Mäntylä, Hanna",ps,Hanna,Mäntylä, 
112,"Mäntymaa, Markku",kok,Markku,Mäntymaa, 
113,"Mölsä, Martti",ps,Martti,Mölsä, 
114,"Nauclér, Elisabeth",r,Elisabeth,Nauclér, 
115,"Niikko, Mika",ps,Mika,Niikko, 
116,"Niinistö, Jussi",ps,Jussi,Niinistö, 
117,"Niinistö, Ville",vihr,Ville,Niinistö, Ympäristöministeri;;Ympäristöministeri;;
118,"Nylander, Mikaela",r,Mikaela,Nylander, 
119,"Nylund, Mats",r,Mats,Nylund, 
120,"Oinonen, Pentti",ps,Pentti,Oinonen, 
121,"Ojala-Niemelä, Johanna",sd,Johanna,Ojala-Niemelä, 
122,"Orpo, Petteri",kok,Petteri,Orpo, Maa- ja metsätalousministeri;;
123,"Paasio, Heli",sd,Heli,Paasio, 
124,"Paatero, Sirpa",sd,Sirpa,Paatero, Kehitysministeri;;
125,"Packalén, Tom",ps,Tom,Packalén, 
126,"Palm, Sari",kd,Sari,Palm, 
