Veikko_Pajunen,1936,Mies,[]
Oskari_Vuorivirta,1861,Mies,[]
Heikki_Niskanen,1896,Mies,[]
Hannes_Tauriainen,1909,Mies,[]
Aaro_Jaskari,1880,Mies,[]
Toivo_Halonen,1893,Mies,[]
Petri_Honkonen,1987,Mies,[]
Tapani_Mörttinen,1943,Mies,"[['Puolustusasiainvaliokunta', 'Puheenjohtaja', '1979', '1982']]"
Jalmari_Viljanen,1872,Mies,[]
Kaarle_Rantakari,1877,Mies,[]
Osmo_Kock,1929,Mies,[]
Yrjö_Koskelainen,1885,Mies,[]
Sakari_Ainali,1874,Mies,[]
Juho_Torppa,1859,Mies,[]
Eeva-Johanna_Eloranta,1966,Nainen,[]
Matti_Hokkanen,1937,Mies,[]
Carl_Sanmark,1894,Mies,[]
Juhana_Toiviainen,1879,Mies,[]
Pekka_Pesola,1925,Mies,[]
Tero_Mölsä,1951,Mies,[]
Riitta_Saastamoinen,1940,Nainen,[]
Armas_Leinonen,1900,Mies,[]
Aleksi_Aaltonen,1892,Mies,[]
Väinö_Juustila,1884,Mies,[]
Ulla_Järvilehto,1938,Nainen,[]
Hugo_Aattela,1897,Mies,[]
Pekka_Salla,1932,Mies,[]
Eeli_Erkkilä,1909,Mies,[]
Heikki_Ala-Mäyry,1893,Mies,[]
Arvo_Pentti,1915,Mies,[]
Timo_Soini,1962,Mies,"[['Puhemiehistö', 'Ensimmäinen varapuhemies', '28.04.2015', '28.05.2015'], ['Ulkoasiainvaliokunta', 'Puheenjohtaja', '03.05.2011', '21.04.2015']]"
Yrjö_Hirvensalo,1888,Mies,[]
Nikolai_Virtanen,1884,Mies,[]
Juho_Pyörälä,1883,Mies,[]
Juho_Vaarala,1864,Mies,[]
Taavi_Lindman,1891,Mies,[]
Ulla-Leena_Alppi,1949,Nainen,"[['Toinen lakivaliokunta', 'Varapuheenjohtaja', '1976', '1979']]"
Lennart_Byman,1875,Mies,[]
Gustaf_Storgårds,1869,Mies,[]
Artturi_Tienari,1907,Mies,[]
Pauli_Uitto,1932,Mies,"[['Puolustusasiainvaliokunta', 'Varapuheenjohtaja', '1987', '1990']]"
Emil_Helkiö,1870,Mies,[]
Jaakko_Piirainen,1871,Mies,[]
Veronica_Rehn-Kivi,1956,Nainen,[]
JuhoHeikki_Pakkala,1877,Mies,[]
Edvin_Wahlstén,1872,Mies,[]
Esko_Koppanen,1926,Mies,[]
Olavi_Majlander,1916,Mies,[]
Edwin_Linkomies,1894,Mies,"[['Puhemiehistö', 'Toinen varapuhemies', '1939', '1943']]"
Artturi_Laitinen,1882,Mies,[]
Mikko_Piitulainen,1878,Mies,[]
Timo_Seppälä,1946,Mies,[]
Kyösti_Kanniainen,1871,Mies,[]
Johannes_Klockars,1867,Mies,[]
Arja_Alho,1954,Nainen,[]
Georg_Backlund,1905,Mies,[]
Henrik_Niskanen,1873,Mies,[]
Juha_Mäenpää,1971,Mies,[]
Jari_Leppä,1959,Mies,"[['Sosiaali- ja terveysvaliokunta', 'Puheenjohtaja', '03.05.2011', '29.06.2011']]"
Joel_Hongisto,1931,Mies,[]
Sanna_Lauslahti,1966,Nainen,[]
Pekka_Hälvä,1876,Mies,[]
Veijo_Puhjo,1948,Mies,[]
Väinö_Salovaara,1888,Mies,[]
Ebba_Östenson,1894,Nainen,[]
Eino_Saari,1894,Mies,[]
Erkki_Perheentupa,1891,Mies,[]
Kalle_Kyhälä,1887,Mies,[]
Pekka_Aakula,1866,Mies,[]
Alfred_Lindroos,1883,Mies,[]
Frans_Koskinen,1869,Mies,[]
Jalmari_Haapanen,1882,Mies,[]
Arvo_Paasivuori,1905,Mies,[]
Juho_Koivisto,1945,Mies,[]
Lauri_Heikkilä,1957,Mies,"[['Maa- ja metsätalousvaliokunta', 'Varapuheenjohtaja', '03.05.2011', '21.04.2015']]"
Pirjo_Rusanen,1940,Nainen,[]
Antti_Halonen,1885,Mies,[]
Hermanni_Pojanluoma,1869,Mies,[]
Otto_Pesonen,1868,Mies,[]
Pentti_Antila,1926,Mies,[]
Pia_Kauma,1966,Nainen,[]
Edla_Lyytinen,1874,Nainen,[]
Sami_Suominen,1922,Mies,[]
Pekka_Vennamo,1944,Mies,[]
Antero_Laukkanen,1958,Mies,[]
Hannele_Pokka,1952,Nainen,[]
Arvo_Salo,1932,Mies,[]
Kalle_Määttä,1900,Mies,[]
Frans_Härmä,1881,Mies,[]
John_Hedberg,1840,Mies,[]
Sinikka_Hurskainen,1951,Nainen,[]
Mauritz_Hallberg,1851,Mies,[]
Gösta_Stenbäck,1865,Mies,[]
Elsi_Katainen,1966,Nainen,"[['Maa- ja metsätalousvaliokunta', 'Puheenjohtaja', '03.05.2011', '29.06.2011'], ['Tarkastusvaliokunta', 'Varapuheenjohtaja', '05.05.2015', '08.06.2015']]"
Aune_Mänttäri,1936,Nainen,[]
Iisakki_Vahe,1860,Mies,[]
Oskari_Väre,1884,Mies,[]
Raila_Aho,1937,Nainen,[]
Matti_Louekoski,1941,Mies,"[['Puhemiehistö', 'jäsen', '1985', '1987'], ['Talousvaliokunta', 'Puheenjohtaja', '1991', '1994']]"
Kauko_Hjerppe,1926,Mies,[]
Juho_Snellman,1866,Mies,[]
Riitta_Prusti,1941,Nainen,[]
Tuomo_Hänninen,1954,Mies,[]
Matti_Kotila,1887,Mies,[]
Samuli_Rantanen,1861,Mies,[]
Paavo_Karjalainen,1904,Mies,[]
Kalle_Könkkölä,1950,Mies,[]
Alexander_Stubb,1968,Mies,[]
Mimmi_Kanervo,1870,Nainen,[]
Olga_Leinonen,1877,Nainen,[]
