,name,party,firstname,lastname,position
0,"Matti, Ahde",sdp,Matti,Ahde, 
1,"Esko, Ahonen",kesk,Esko,Ahonen, 
2,"Eero, Akaan-Penttilä",kok,Eero,Akaan-Penttilä, 
3,"Outi, Alanko-Kahiluoto",vihr,Outi,Alanko-Kahiluoto, 
4,"Mikko, Alatalo",kesk,Mikko,Alatalo, 
5,"Claes, Andersson",vas,Claes,Andersson, 
6,"Janina, Andersson",vihr,Janina,Andersson, 
7,"Sirkka-Liisa, Anttila",kesk,Sirkka-Liisa,Anttila, Maa- ja metsätalousministeri;;Maa- ja metsätalousministeri;;
8,"Paavo, Arhinmäki",vas,Paavo,Arhinmäki, 
9,"Marko, Asell",sdp,Marko,Asell, 
10,"Sirpa, Asko-Seljavaara",kok,Sirpa,Asko-Seljavaara, 
11,"Risto, Autio",kesk,Risto,Autio, 
12,"Thomas, Blomqvist",rkp,Thomas,Blomqvist, 
13,"Tuija, Brax",vihr,Tuija,Brax, Oikeusministeri;;Oikeusministeri;;
14,"Maarit, Feldt-Ranta",sdp,Maarit,Feldt-Ranta, 
15,"Tarja, Filatov",sdp,Tarja,Filatov, 
16,"Merikukka, Forsius",vihr,Merikukka,Forsius, 
17,"Christina, Gestrin",rkp,Christina,Gestrin, 
18,"Jukka, Gustafsson",sdp,Jukka,Gustafsson, 
19,"Maria, Guzenina-Richardson",sdp,Maria,Guzenina-Richardson, 
20,"Susanna, Haapoja",kesk,Susanna,Haapoja, 
21,"Tuula, Haatainen",sdp,Tuula,Haatainen, 
22,"Pekka, Haavisto",vihr,Pekka,Haavisto, 
23,"Juha, Hakola",kok,Juha,Hakola, 
24,"Leena, Harkimo",kok,Leena,Harkimo, 
25,"Heidi, Hautala",vihr,Heidi,Hautala, 
26,"Lasse, Hautala",kesk,Lasse,Hautala, 
27,"Hannakaisa, Heikkinen",kesk,Hannakaisa,Heikkinen, 
28,"Timo, Heinonen",kok,Timo,Heinonen, 
29,"Eero, Heinäluoma",sdp,Eero,Heinäluoma, 
30,"Pertti, Hemmilä",kok,Pertti,Hemmilä, 
31,"Hanna-Leena, Hemming",kok,Hanna-Leena,Hemming, 
32,"Anna-Maja, Henriksson",rkp,Anna-Maja,Henriksson, 
33,"Rakel, Hiltunen",sdp,Rakel,Hiltunen, 
34,"Anne, Holmlund",kok,Anne,Holmlund, Sisäasiainministeri;;Sisäasiainministeri;;
35,"Hannu, Hoskonen",kesk,Hannu,Hoskonen, 
36,"Susanna, Huovinen",sdp,Susanna,Huovinen, 
37,"Sinikka, Hurskainen",sdp,Sinikka,Hurskainen, 
38,"Liisa, Hyssälä",kesk,Liisa,Hyssälä, Sosiaali- ja terveysministeri;; Ministeri työministeriössä;;
39,"Jyri, Häkämies",kok,Jyri,Häkämies, Ministeri valtioneuvoston kansliassa;; Puolustusministeri;;Ministeri valtioneuvoston kansliassa;; Puolustusministeri;;
40,"Tuomo, Hänninen",kesk,Tuomo,Hänninen, 
41,"Liisa, Jaakonsaari",sdp,Liisa,Jaakonsaari, 
42,"Harri, Jaskari",kok,Harri,Jaskari, 
43,"Kalle, Jokinen",kok,Kalle,Jokinen, 
44,"Timo, Juurikkala",vihr,Timo,Juurikkala, 
45,"Heli, Järvinen",vihr,Heli,Järvinen, 
46,"Pietari, Jääskeläinen",ps,Pietari,Jääskeläinen, 
47,"Antti, Kaikkonen",kesk,Antti,Kaikkonen, 
48,"Antti, Kalliomäki",sdp,Antti,Kalliomäki, 
49,"Reijo, Kallio",sdp,Reijo,Kallio, 
50,"Bjarne, Kallis",kd,Bjarne,Kallis, 
51,"Timo, Kalli",kesk,Timo,Kalli, 
52,"Anne, Kalmari",kesk,Anne,Kalmari, 
53,"Oiva, Kaltiokumpu",kesk,Oiva,Kaltiokumpu, 
54,"Ilkka, Kanerva",kok,Ilkka,Kanerva, Ulkoasiainministeri;;
55,"Matti, Kangas",vas,Matti,Kangas, 
56,"Toimi, Kankaanniemi",kd,Toimi,Kankaanniemi, 
57,"Ilkka, Kantola",sdp,Ilkka,Kantola, 
58,"Saara, Karhu",sdp,Saara,Karhu, 
59,"Arja, Karhuvaara",kok,Arja,Karhuvaara, 
60,"Johanna, Karimäki",vihr,Johanna,Karimäki, 
61,"Kyösti, Karjula",kesk,Kyösti,Karjula, 
