,name,party,firstname,lastname,position,key,start_date,end_date,hallituskausi
61,"Enestam, Jan-Erik",RKP,Jan-Erik,Enestam, Ministeri ulkoasiainministeriössä;; Ympäristöministeri;;,Jan-Erik_Enestam,17.4.2003,24.6.2003,Jäätteenmäki
70,"Wideroos, Ulla-Maj",RKP,Ulla-Maj,Wideroos, Toinen valtiovarainministeri;;,Ulla-Maj_Wideroos,17.4.2003,24.6.2003,Jäätteenmäki
111,"Jäätteenmäki, Anneli",Keskusta,Anneli,Jäätteenmäki, Pääministeri;;,Anneli_Jäätteenmäki,17.4.2003,24.6.2003,Jäätteenmäki
115,"Korkeaoja, Juha",Keskusta,Juha,Korkeaoja, Maa- ja metsätalousministeri;;,Juha_Korkeaoja,17.4.2003,24.6.2003,Jäätteenmäki
117,"Lehtomäki, Paula",Keskusta,Paula,Lehtomäki, Ministeri valtioneuvoston kansliassa;; Ulkomaankauppa- ja kehitysministeri;; Ministeri kauppa- ja teollisuusministeriössä;;,Paula_Lehtomäki,17.4.2003,24.6.2003,Jäätteenmäki
118,"Manninen, Hannes",Keskusta,Hannes,Manninen, Alue- ja kuntaministeri;; Ministeri ympäristöministeriössä;;,Hannes_Manninen,17.4.2003,24.6.2003,Jäätteenmäki
119,"Pekkarinen, Mauri",Keskusta,Mauri,Pekkarinen, Kauppa- ja teollisuusministeri;;,Mauri_Pekkarinen,17.4.2003,24.6.2003,Jäätteenmäki
121,"Vanhanen, Matti",Keskusta,Matti,Vanhanen, Puolustusministeri;;,Matti_Vanhanen,17.4.2003,24.6.2003,Jäätteenmäki
155,"Hyssälä, Liisa",Keskusta,Liisa,Hyssälä, Peruspalveluministeri;;,Liisa_Hyssälä,17.4.2003,24.6.2003,Jäätteenmäki
157,"Filatov, Tarja",SDP,Tarja,Filatov, Työministeri;;,Tarja_Filatov,17.4.2003,24.6.2003,Jäätteenmäki
159,"Haatainen, Tuula",SDP,Tuula,Haatainen, Opetusministeri;;,Tuula_Haatainen,17.4.2003,24.6.2003,Jäätteenmäki
164,"Kalliomäki, Antti",SDP,Antti,Kalliomäki, Pääministerin sijainen;; Valtiovarainministeri;;,Antti_Kalliomäki,17.4.2003,24.6.2003,Jäätteenmäki
168,"Koskinen, Johannes",SDP,Johannes,Koskinen, Oikeusministeri;;,Johannes_Koskinen,17.4.2003,24.6.2003,Jäätteenmäki
172,"Rajamäki, Kari",SDP,Kari,Rajamäki, Sisäasiainministeri;;,Kari_Rajamäki,17.4.2003,24.6.2003,Jäätteenmäki
174,"Tuomioja, Erkki",SDP,Erkki,Tuomioja, Ulkoasiainministeri;;,Erkki_Tuomioja,17.4.2003,24.6.2003,Jäätteenmäki
188,"Luhtanen, Leena",SDP,Leena,Luhtanen, Liikenne- ja viestintäministeri;;,Leena_Luhtanen,17.4.2003,24.6.2003,Jäätteenmäki
191,"Mönkäre, Sinikka",SDP,Sinikka,Mönkäre, Sosiaali- ja terveysministeri;;,Sinikka_Mönkäre,17.4.2003,24.6.2003,Jäätteenmäki
269,"Saarela, Tanja",Keskusta,Tanja,Saarela, Kulttuuriministeri;;,Tanja_Saarela,17.4.2003,24.6.2003,Jäätteenmäki
