,name,party,firstname,lastname,position,key,start_date,end_date,hallituskausi
52,"Räsänen, Päivi",Kristillisdemokraatit,Päivi,Räsänen, Sisäministeri;; Sisäministeri;;,Päivi_Räsänen,24.6.2014,29.5.2015,Stubb
173,"Viitanen, Pia",SDP,Pia,Viitanen, Kulttuuri- ja asuntoministeri;;,Pia_Viitanen,24.6.2014,29.5.2015,Stubb
174,"Tuomioja, Erkki",SDP,Erkki,Tuomioja, Ulkoasiainministeri;;,Erkki_Tuomioja,24.6.2014,29.5.2015,Stubb
178,"Huovinen, Susanna",SDP,Susanna,Huovinen, Peruspalveluministeri;;,Susanna_Huovinen,24.6.2014,29.5.2015,Stubb
339,"Paatero, Sirpa",SDP,Sirpa,Paatero, Kehitysministeri;;,Sirpa_Paatero,24.6.2014,29.5.2015,Stubb
360,"Risikko, Paula",Kokoomus,Paula,Risikko, Liikenne- ja kuntaministeri;;,Paula_Risikko,24.6.2014,29.5.2015,Stubb
404,"Vapaavuori, Jan",Kokoomus,Jan,Vapaavuori, Elinkeinoministeri;; Elinkeinoministeri;;,Jan_Vapaavuori,24.6.2014,29.5.2015,Stubb
440,"Pekka, Haavisto",Vihreät,Pekka,Haavisto, Kehitysministeri;;,Pekka_Haavisto,24.6.2014,29.5.2015,Stubb
450,"Anna-Maja, Henriksson",RKP,Anna-Maja,Henriksson, Oikeusministeri;;,Anna-Maja_Henriksson,24.6.2014,29.5.2015,Stubb
491,"Krista, Kiuru",SDP,Krista,Kiuru, Opetus- ja viestintäministeri;;,Krista_Kiuru,24.6.2014,29.5.2015,Stubb
534,"Ville, Niinistö",Vihreät,Ville,Niinistö, Ympäristöministeri;;,Ville_Niinistö,24.6.2014,29.5.2015,Stubb
544,"Petteri, Orpo",Kokoomus,Petteri,Orpo, Maa- ja metsätalousministeri;;,Petteri_Orpo,24.6.2014,29.5.2015,Stubb
597,"Lenita, Toivakka",Kokoomus,Lenita,Toivakka, Eurooppa- ja ulkomaankauppaministeri;;,Lenita_Toivakka,24.6.2014,29.5.2015,Stubb
644,"Grahn-Laasonen, Sanni",Kokoomus,Sanni,Grahn-Laasonen, Ympäristöministeri;;,Sanni_Grahn-Laasonen,24.6.2014,29.5.2015,Stubb
666,"Ihalainen, Lauri",SDP,Lauri,Ihalainen, Työministeri;;,Lauri_Ihalainen,24.6.2014,29.5.2015,Stubb
792,"Stubb, Alexander",Kokoomus,Alexander,Stubb, Pääministeri;;,Alexander_Stubb,24.6.2014,29.5.2015,Stubb
861,"Haglund, Carl",RKP,Carl,Haglund, Puolustusministeri;; Puolustusministeri;;,Carl_Haglund,24.6.2014,29.5.2015,Stubb
985,"Rinne, Antti",SDP,Antti,Rinne, Pääministerin sijainen;; Valtiovarainministeri;;,Antti_Rinne,24.6.2014,29.5.2015,Stubb
