,name,party,firstname,lastname,position,
0,"Akaan-Penttilä, Eero",kokoomus,Eero,Akaan-Penttilä,
1,"Harkimo, Leena",kokoomus,Leena,Harkimo,
2,"Heinonen, Olli-Pekka",kokoomus,Olli-Pekka,Heinonen,Liikenneministeri;; Liikenne- ja viestintäministeri,
3,"Holmlund, Anne",kokoomus,Anne,Holmlund,
4,"Häkämies, Jyri",kokoomus,Jyri,Häkämies,
5,"Itälä, Ville",kokoomus,Ville,Itälä,Pääministerin sijainen;; Sisäasiainministeri,
6,"Katainen, Jyrki",kokoomus,Jyrki,Katainen,
7,"Kummola, Kalervo",kokoomus,Kalervo,Kummola,
8,"Koskinen, Jari",kokoomus,Jari,Koskinen,Maa- ja metsätalousministeri,
9,"Kanerva, Seppo",kokoomus,Seppo,Kanerva,
10,"Kanerva, Ilkka",kokoomus,Ilkka,Kanerva,
11,"Hemmilä, Pertti",kokoomus,Pertti,Hemmilä,
12,"Lindén, Suvi",kokoomus,Suvi,Lindén,Kulttuuriministeri
13,"Niinistö, Sauli",kokoomus,Sauli,Niinistö,Pääministerin sijainen;; Valtiovarainministeri
14,"Mäki-Hakola, Pertti",kokoomus,Pertti,Mäki-Hakola,
15,"Pietikäinen, Sirpa",kokoomus,Sirpa,Pietikäinen,
16,"Piha, Kirsi",kokoomus,Kirsi,Piha,
17,"Ravi, Pekka",kokoomus,Pekka,Ravi,
18,"Vilén, Jari",kokoomus,Jari,Vilén,Ministeri valtioneuvoston kansliassa;; Ulkomaankauppaministeri;; Ministeri kauppa- ja teollisuusministeriössä
19,"Virén, Lasse",kokoomus,Lasse,Virén,
20,"Vahasalo, Raija",kokoomus,Raija,Vahasalo,
21,"Tiura, Marja",kokoomus,Marja,Tiura,
22,"Uosukainen, Riitta",kokoomus,Riitta,Uosukainen,
23,"Sarkomaa, Sari",kokoomus,Sari,Sarkomaa,
24,"Sasi, Kimmo",kokoomus,Kimmo,Sasi,Ministeri valtioneuvoston kansliassa;; Ulkomaankauppaministeri;; Liikenne- ja viestintäministeri;; Ministeri kauppa- ja teollisuusministeriössä
25,"Koskinen, Marjaana",kokoomus,Marjaana,Koskinen,
26,"Kuosmanen, Pekka",kokoomus,Pekka,Kuosmanen,
27,"Kurvinen, Esko",kokoomus,Esko,Kurvinen,
28,"Antvuori, Pirjo-Riitta",kokoomus,Pirjo-Riitta,Antvuori,
29,"Dromberg, Kaarina",kokoomus,Kaarina,Dromberg,Kulttuuriministeri
30,"Ihamäki, Timo",kokoomus,Timo,Ihamäki,
31,"Kantalainen, Kari",kokoomus,Kari,Kantalainen,
32,"Karpio, Juha",kokoomus,Juha,Karpio,
33,"Karttunen, Marjukka",kokoomus,Marjukka,Karttunen,
34,"Kokkonen, Paula",kokoomus,Paula,Kokkonen,
35,"Korhonen, Riitta",kokoomus,Riitta,Korhonen,
36,"Lehtimäki, Jouni",kokoomus,Jouni,Lehtimäki,
37,"Zyskowicz, Ben",kokoomus,Ben,Zyskowicz,
38,"Markkula-Kivisilta, Hanna",kokoomus,Hanna,Markkula-Kivisilta,
39,"Markkula, Markku",kokoomus,Markku,Markkula,
40,"Nepponen, Olli",kokoomus,Olli,Nepponen,
41,"Nurmi, Tuija",kokoomus,Tuija,Nurmi,
42,"Perho, Maija",kokoomus,Maija,Perho,Sosiaali- ja terveysministeri
43,"Salo, Petri",kokoomus,Petri,Salo,
44,"Seppälä, Timo",kokoomus,Timo,Seppälä,
45,"Sjöblom, Juhani",kokoomus,Juhani,Sjöblom,
46,"Tiuri, Martti",kokoomus,Martti,Tiuri,
47,"Tulonen, Irja",kokoomus,Irja,Tulonen,
48,"Aittoniemi, Sulo",alkiolainen,Sulo,Aittoniemi,
49,"Kallis, Bjarne",kd,Bjarne,Kallis,
50,"Kankaanniemi, Toimi",kd,Toimi,Kankaanniemi,
51,"Jääskeläinen, Jouko",kd,Jouko,Jääskeläinen,
52,"Räsänen, Päivi",kd,Päivi,Räsänen,
53,"Hiltunen, Leea",kd,Leea,Hiltunen,
54,"Kemppainen, Marja-Leena",kd,Marja-Leena,Kemppainen,
55,"Kärkkäinen, Kari",kd,Kari,Kärkkäinen,
56,"Rauhala, Leena",kd,Leena,Rauhala,
57,"Seivästö, Ismo",kd,Ismo,Seivästö,
58,"Smeds, Sakari",kd,Sakari,Smeds,
59,"Vistbacka, Raimo",perussuomalaiset,Raimo,Vistbacka,
60,"Biaudet, Eva",rkp,Eva,Biaudet,Peruspalveluministeri;; Peruspalveluministeri
61,"Enestam, Jan-Erik",rkp,Jan-Erik,Enestam,Ministeri ulkoasiainministeriössä;; Puolustusministeri
62,"Erlund, Rainer",rkp,Rainer,Erlund,
63,"Gestrin, Christina",rkp,Christina,Gestrin,
64,"Lax, Henrik",rkp,Henrik,Lax,
65,"Pietikäinen, Margareta",rkp,Margareta,Pietikäinen,
