,name,party,firstname,lastname,position,key,start_date,end_date,hallituskausi
122,"Vehviläinen, Anu",Keskusta,Anu,Vehviläinen, Kunta- ja liikenneministeri;; Kunta- ja uudistusministeri;;,Anu_Vehviläinen,29.5.2015,6.6.2019,Sipilä
124,"Lintilä, Mika",Keskusta,Mika,Lintilä, Elinkeinoministeri;; Elinkeinoministeri;;,Mika_Lintilä,29.5.2015,6.6.2019,Sipilä
135,"Leppä, Jari",Keskusta,Jari,Leppä, Maa- ja metsätalousministeri;;,Jari_Leppä,29.5.2015,6.6.2019,Sipilä
146,"Rehula, Juha",Keskusta,Juha,Rehula, Perhe- ja peruspalveluministeri;;,Juha_Rehula,29.5.2015,6.6.2019,Sipilä
360,"Risikko, Paula",Kokoomus,Paula,Risikko, Sisäministeri;;,Paula_Risikko,29.5.2015,6.6.2019,Sipilä
381,"Soini, Timo",Perussuomalaiset,Timo,Soini, Pääministerin sijainen;; Ulkoministeri;; Ulkoasiainministeri;; Ulkoasiainministeri;; Ulkoasiainministeri;;,Timo_Soini,29.5.2015,6.6.2019,Sipilä
391,"Tiilikainen, Kimmo",Keskusta,Kimmo,Tiilikainen," Maatalous- ja ympäristöministeri;; Asunto-, energia- ja ympäristöministeri;;",Kimmo_Tiilikainen,29.5.2015,6.6.2019,Sipilä
544,"Petteri, Orpo",Kokoomus,Petteri,Orpo, Pääministerin sijainen;; Sisäministeri;; Valtiovarainministeri;;,Petteri_Orpo,29.5.2015,6.6.2019,Sipilä
597,"Lenita, Toivakka",Kokoomus,Lenita,Toivakka, Ulkomaankauppa- ja kehitysministeri;;,Lenita_Toivakka,29.5.2015,6.6.2019,Sipilä
616,"Anne-Mari, Virolainen",Kokoomus,Anne-Mari,Virolainen, Ulkomaankauppa- ja kehitysministeri;;,Anne-Mari_Virolainen,29.5.2015,6.6.2019,Sipilä
644,"Grahn-Laasonen, Sanni",Kokoomus,Sanni,Grahn-Laasonen, Opetusministeri;; Opetus- ja kulttuuriministeri;;,Sanni_Grahn-Laasonen,29.5.2015,6.6.2019,Sipilä
719,"Lindström, Jari",Perussuomalaiset,Jari,Lindström, Oikeus- ja työministeri;; Työministeri;; Työministeri;;,Jari_Lindström,29.5.2015,6.6.2019,Sipilä
728,"Mattila, Pirkko",Perussuomalaiset,Pirkko,Mattila, Sosiaali- ja terveysministeri;; Sosiaali- ja terveysministeri;;,Pirkko_Mattila,29.5.2015,6.6.2019,Sipilä
738,"Mäntylä, Hanna",Perussuomalaiset,Hanna,Mäntylä, Sosiaali- ja terveysministeri;;,Hanna_Mäntylä,29.5.2015,6.6.2019,Sipilä
743,"Niinistö, Jussi",Perussuomalaiset,Jussi,Niinistö, Puolustusministeri;; Puolustusministeri;;,Jussi_Niinistö,29.5.2015,6.6.2019,Sipilä
777,"Saarikko, Annika",Keskusta,Annika,Saarikko, Perhe- ja peruspalveluministeri;;,Annika_Saarikko,29.5.2015,6.6.2019,Sipilä
787,"Sipilä, Juha",Keskusta,Juha,Sipilä, Pääministeri;;,Juha_Sipilä,29.5.2015,6.6.2019,Sipilä
792,"Stubb, Alexander",Kokoomus,Alexander,Stubb, Valtiovarainministeri;;,Alexander_Stubb,29.5.2015,6.6.2019,Sipilä
844,"Berner, Anne",Keskusta,Anne,Berner, Liikenne- ja viestintäministeri;; Liikenne- ja viestintäministeri;;,Anne_Berner,29.5.2015,6.6.2019,Sipilä
878,"Häkkänen, Antti",Kokoomus,Antti,Häkkänen, Oikeusministeri;;,Antti_Häkkänen,29.5.2015,6.6.2019,Sipilä
944,"Mykkänen, Kai",Kokoomus,Kai,Mykkänen, Ulkomaankauppa- ja kehitysministeri;; Sisäministeri;;,Kai_Mykkänen,29.5.2015,6.6.2019,Sipilä
981,"Rehn, Olli",Keskusta,Olli,Rehn, Elinkeinoministeri;;,Olli_Rehn,29.5.2015,6.6.2019,Sipilä
1017,"Terho, Sampo",Siniset,Sampo,Terho," Eurooppa-, kulttuuri- ja urheiluministeri;; Eurooppa-, kulttuuri- ja urheiluministeri;;",Sampo_Terho,29.5.2015,6.6.2019,Sipilä
