,name,party,firstname,lastname,position
0,"Ahde, Matti",sd,Matti,Ahde, 
1,"Ahonen, Esko",kesk,Esko,Ahonen, 
2,"Akaan-Penttilä, Eero",kok,Eero,Akaan-Penttilä, 
3,"Ala-Nissilä, Olavi",kesk,Olavi,Ala-Nissilä, 
4,"Alatalo, Mikko",kesk,Mikko,Alatalo, 
5,"Alho, Arja",sd,Arja,Alho, 
6,"Andersson, Janina",vihr,Janina,Andersson, 
7,"Anttila, Sirkka-Liisa",kesk,Sirkka-Liisa,Anttila, 
8,"Anttila, Ulla",vihr,Ulla,Anttila, 
9,"Asko-Seljavaara, Sirpa",kok,Sirpa,Asko-Seljavaara, 
10,"Backman, Jouni",sd,Jouni,Backman, 
11,"Biaudet, Eva",r,Eva,Biaudet, 
12,"Brax, Tuija",vihr,Tuija,Brax, 
13,"Bryggare, Arto",sd,Arto,Bryggare, 
14,"Cronberg, Tarja",vihr,Tarja,Cronberg, 
15,"Donner, Jörn",r,Jörn,Donner, 
16,"Dromberg, Kaarina",kok,Kaarina,Dromberg, 
17,"Elo, Mikko",sd,Mikko,Elo, 
18,"Enestam, Jan-Erik",r,Jan-Erik,Enestam, Ministeri ulkoasiainministeriössä;; Ympäristöministeri;;Ministeri ulkoasiainministeriössä;; Ympäristöministeri;;
19,"Essayah, Sari",kd,Sari,Essayah, 
20,"Filatov, Tarja",sd,Tarja,Filatov, Työministeri;;Työministeri;;
21,"Forsius, Merikukka",vihr,Merikukka,Forsius, 
22,"Gestrin, Christina",r,Christina,Gestrin, 
23,"Granvik, Nils-Anders",r,Nils-Anders,Granvik, 
24,"Gustafsson, Jukka",sd,Jukka,Gustafsson, 
25,"Haapoja, Susanna",kesk,Susanna,Haapoja, 
26,"Haatainen, Tuula",sd,Tuula,Haatainen, Opetusministeri;;Opetusministeri;; Sosiaali- ja terveysministeri;;
27,"Halme, Tony",ps,Tony,Halme, 
28,"Harkimo, Leena",kok,Leena,Harkimo, 
29,"Hassi, Satu",vihr,Satu,Hassi, 
30,"Hautala, Heidi",vihr,Heidi,Hautala, 
31,"Hautala, Lasse",kesk,Lasse,Hautala, 
32,"Heinäluoma, Eero",sd,Eero,Heinäluoma, Pääministerin sijainen;; Valtiovarainministeri;;
33,"Hellberg, Klaus",sd,Klaus,Hellberg, 
34,"Hemmilä, Pertti",kok,Pertti,Hemmilä, 
35,"Hemming, Hanna-Leena",kok,Hanna-Leena,Hemming, 
36,"Hiltunen, Rakel",sd,Rakel,Hiltunen, 
37,"Holmlund, Anne",kok,Anne,Holmlund, 
38,"Hoskonen, Hannu",kesk,Hannu,Hoskonen, 
39,"Huotari, Anne",vas,Anne,Huotari, 
40,"Huovinen, Susanna",sd,Susanna,Huovinen, Liikenne- ja viestintäministeri;;
41,"Hurskainen, Sinikka",sd,Sinikka,Hurskainen, 
42,"Hyssälä, Liisa",kesk,Liisa,Hyssälä, Peruspalveluministeri;;Peruspalveluministeri;;
43,"Häkämies, Jyri",kok,Jyri,Häkämies, 
44,"Hänninen, Tuomo",kesk,Tuomo,Hänninen, 
45,"Immonen, Mikko",vas,Mikko,Immonen, 
46,"Itälä, Ville",kok,Ville,Itälä, 
47,"Jaakonsaari, Liisa",sd,Liisa,Jaakonsaari, 
48,"Jansson, Roger",r,Roger,Jansson, 
49,"Juhantalo, Kauko",kesk,Kauko,Juhantalo, 
50,"Jäätteenmäki, Anneli",kesk,Anneli,Jäätteenmäki, Pääministeri;;
51,"Kaikkonen, Antti",kesk,Antti,Kaikkonen, 
52,"Kalli, Timo",kesk,Timo,Kalli, 
53,"Kallio, Reijo",sd,Reijo,Kallio, 
54,"Kalliomäki, Antti",sd,Antti,Kalliomäki, Pääministerin sijainen;; Valtiovarainministeri;;Pääministerin sijainen;; Valtiovarainministeri;; Opetusministeri;;
55,"Kallis, Bjarne",kd,Bjarne,Kallis, 
56,"Kanerva, Ilkka",kok,Ilkka,Kanerva, 
57,"Kangas, Matti",vas,Matti,Kangas, 
58,"Kankaanniemi, Toimi",kd,Toimi,Kankaanniemi, 
59,"Karhu, Saara",sd,Saara,Karhu, 
60,"Karjula, Kyösti",kesk,Kyösti,Karjula, 
61,"Saarela, Tanja",kesk,Tanja,Saarela, Kulttuuriministeri;;Kulttuuriministeri;;
62,"Karttunen, Marjukka",kok,Marjukka,Karttunen, 
63,"Karvonen, Tatja",kesk,Tatja,Karvonen, 
64,"Kasvi, Jyrki",vihr,Jyrki,Kasvi, 
65,"Katainen, Jyrki",kok,Jyrki,Katainen, 
66,"Kauppila, Matti",vas,Matti,Kauppila, 
67,"Kekkonen, Antero",sd,Antero,Kekkonen, 
68,"Kerola, Inkeri",kesk,Inkeri,Kerola, 
69,"Kettunen, Rauno",kesk,Rauno,Kettunen, 
70,"Kiljunen, Anneli",sd,Anneli,Kiljunen, 
71,"Kiljunen, Kimmo",sd,Kimmo,Kiljunen, 
72,"Kiviniemi, Mari",kesk,Mari,Kiviniemi, Ministeri valtioneuvoston kansliassa;; Ulkomaankauppa- ja kehitysministeri;;
73,"Kiviranta, Esko",kesk,Esko,Kiviranta, 
74,"Komi, Katri",kesk,Katri,Komi, 
75,"Korhonen, Martti",vas,Martti,Korhonen, 
76,"Korkeaoja, Juha",kesk,Juha,Korkeaoja, Maa- ja metsätalousministeri;;Maa- ja metsätalousministeri;;
77,"Koski, Markku",kesk,Markku,Koski, 
78,"Koski, Valto",sd,Valto,Koski, 
79,"Koskinen, Jari",kok,Jari,Koskinen, 
80,"Koskinen, Johannes",sd,Johannes,Koskinen, Oikeusministeri;;Oikeusministeri;;
81,"Koskinen, Marjaana",sd,Marjaana,Koskinen, 
82,"Krohn, Irina",vihr,Irina,Krohn, 
83,"Kuisma, Risto",sd,Risto,Kuisma, 
84,"Kumpula, Miapetra",sd,Miapetra,Kumpula, 
85,"Kuoppa, Mikko",vas,Mikko,Kuoppa, 
86,"Kuosmanen, Pekka",kok,Pekka,Kuosmanen, 
87,"Kurvinen, Esko",kok,Esko,Kurvinen, 
88,"Kähkönen, Lauri",sd,Lauri,Kähkönen, 
89,"Kärkkäinen, Kari",kd,Kari,Kärkkäinen, 
90,"Kääriäinen, Seppo",kesk,Seppo,Kääriäinen, Puolustusministeri;;
91,"Laakso, Jaakko",vas,Jaakko,Laakso, 
92,"Lahtela, Esa",sd,Esa,Lahtela, 
93,"Lahtela, Seppo",kesk,Seppo,Lahtela, 
94,"Lahti, Jere",kok,Jere,Lahti, 
95,"Laitinen, Reijo",sd,Reijo,Laitinen, 
96,"Lamminen, Kalevi",kok,Kalevi,Lamminen, 
97,"Lankia, Eero",kesk,Eero,Lankia, 
98,"Lapintie, Annika",vas,Annika,Lapintie, 
99,"Laukkanen, Markku",kesk,Markku,Laukkanen, 
